,acc,pre_wei,rec_wei,f1_wei,confmat,pre_mac,rec_mac,f1_mac,k_per_class,k_rand,id
0,0.86,0.8140740740740741,0.86,0.8351564129301354,"[[64  1  0  0]
 [ 6 22  0  1]
 [ 2  3  0  0]
 [ 0  1  0  0]]",0.42592592592592593,0.43580901856763926,0.43000521376433787,0,0,Zero
1,0.85,0.8092910447761192,0.85,0.8289542970690512,"[[61  4  0  0]
 [ 4 24  0  1]
 [ 2  3  0  0]
 [ 0  1  0  0]]",0.41511194029850745,0.44151193633952257,0.4277819175360159,0,1,few_0_1
2,0.88,0.8390909090909091,0.88,0.8584929820241319,"[[62  3  0  0]
 [ 2 26  0  1]
 [ 2  3  0  0]
 [ 0  1  0  0]]",0.4318181818181818,0.46259946949602126,0.4463186407288845,0,2,few_0_2
3,0.83,0.791187584345479,0.83,0.7996666666666666,"[[64  1  0  1]
 [ 7 18  0  1]
 [ 7  0  0  0]
 [ 0  0  0  1]]",0.5253036437246964,0.6655011655011656,0.5472222222222222,0,0,Zero
4,0.87,0.8178301369863012,0.87,0.8422795880942305,"[[64  1  0  1]
 [ 2 23  0  1]
 [ 7  0  0  0]
 [ 0  1  0  0]]",0.4491780821917808,0.4635780885780886,0.4557060234165609,0,1,few_0_1
5,0.83,0.7838095238095238,0.83,0.8009819967266776,"[[64  1  0  1]
 [ 6 19  0  1]
 [ 7  0  0  0]
 [ 0  1  0  0]]",0.433982683982684,0.42511655011655014,0.42590388335069185,0,2,few_0_2
6,0.92,0.9039999999999999,0.92,0.9094444444444446,"[[68  1  0  0]
 [ 5 24  0  0]
 [ 2  0  0  0]
 [ 0  0  0  0]]",0.4666666666666667,0.45327336331834084,0.45833333333333337,0,0,Zero
7,0.89,0.8719438669438669,0.89,0.8794685314685314,"[[66  3  0  0]
 [ 6 23  0  0]
 [ 2  0  0  0]
 [ 0  0  0  0]]",0.4441268191268191,0.43740629685157423,0.43986013986013983,0,1,few_0_1
8,0.89,0.9063267605633802,0.89,0.8967248677248678,"[[67  2  0  0]
 [ 4 22  2  1]
 [ 0  1  0  1]
 [ 0  0  0  0]]",0.45591549295774647,0.4324087956021989,0.44298941798941793,0,2,few_0_2
